consistent_change,latitude,longitude,year
1.0,-10.77749271,-69.22466987,2003
1.0,-16.04206943,-52.0724175,1987
1.0,-16.04206943,-52.0724175,1990
1.0,-12.67689054,-46.53106983,1986
1.0,-12.67689054,-46.53106983,1988
1.0,-12.67689054,-46.53106983,1995
1.0,-12.67689054,-46.53106983,2014
0.0,-12.67689054,-46.53106983,1994
1.0,-1.942382223,-53.01322309,1989
1.0,-3.1645401669999997,-59.20755613,2003
1.0,-3.1645401669999997,-59.20755613,2007
1.0,-10.73572104,-48.21136857,2005
1.0,-10.73572104,-48.21136857,2007
1.0,-10.73572104,-48.21136857,2014
1.0,-14.52858784,-50.23958482,1992
1.0,-19.51908857,-53.26223609,1986
1.0,-19.51908857,-53.26223609,2002
1.0,-4.544082949,-42.29892687,1988
1.0,-12.03010354,-61.26164386,2004
1.0,-2.461428794,-54.19280089,1985
1.0,-2.461428794,-54.19280089,1989
1.0,-2.461428794,-54.19280089,1995
1.0,-2.461428794,-54.19280089,2010
1.0,-2.461428794,-54.19280089,2012
0.0,-2.461428794,-54.19280089,1988
0.0,-2.461428794,-54.19280089,1994
1.0,-19.0097438,-42.401604299999995,2011
1.0,-9.327611837000001,-69.11013467,2002
1.0,-12.03872736,-40.99645954,2004
1.0,-12.03872736,-40.99645954,2008
1.0,-5.713958943,-39.71043138,1987
1.0,-5.713958943,-39.71043138,1989
1.0,-18.31390878,-54.18202111,1990
0.0,-18.31390878,-54.18202111,1988
0.0,-18.31390878,-54.18202111,1989
1.0,-14.35799776,-47.39048807,1986
1.0,-3.612170673,-64.98713701,1993
1.0,-3.612170673,-64.98713701,1997
1.0,-3.612170673,-64.98713701,2008
1.0,-12.39149578,-46.15000449,1994
1.0,-16.14393838,-39.43581639,2000
1.0,-19.691834600000004,-43.43673301,2009
0.0,-19.691834600000004,-43.43673301,2008
1.0,-12.08804487,-49.92993554,1992
1.0,-12.08804487,-49.92993554,2009
1.0,-5.573552265,-51.39868103,1996
1.0,-7.6551284410000004,-40.51083029,1988
1.0,-7.6551284410000004,-40.51083029,1995
1.0,-3.161845221,-64.77827871,1987
1.0,-13.57161257,-40.5402052,1992
1.0,-5.440960929,-44.81277236,2004
1.0,-25.35149038,-53.01241461,2009
1.0,-25.35149038,-53.01241461,2013
1.0,-18.82918243,-43.46368246,1985
1.0,-11.43074758,-45.54795359,2002
1.0,-30.77399093,-52.52759385,1999
1.0,-13.50855083,-45.73309637,2011
1.0,-10.88663801,-53.17141641,2015
1.0,-21.26137106,-56.61959963,1987
0.0,-21.26137106,-56.61959963,1986
1.0,-29.94286963,-50.58777183,2002
1.0,-29.94286963,-50.58777183,2008
1.0,-1.683397927,-54.19899927,1990
0.0,-1.683397927,-54.19899927,1987
0.0,-1.683397927,-54.19899927,1988
0.0,-1.683397927,-54.19899927,1989
1.0,-16.85297864,-48.02784276,2012
1.0,-15.49876834,-59.47974567,2007
1.0,-15.49876834,-59.47974567,2012
1.0,-6.798674649,-35.66208372,1987
1.0,-6.798674649,-35.66208372,1992
1.0,-6.798674649,-35.66208372,1997
1.0,-6.798674649,-35.66208372,2001
1.0,-25.76759002,-50.1113054,1991
0.0,-25.76759002,-50.1113054,1990
1.0,-14.1173391,-45.43961676,2002
1.0,-14.1173391,-45.43961676,2012
1.0,-9.405765267,-44.85616099,2013
1.0,-15.9587956,-54.30949205,1998
1.0,-15.9587956,-54.30949205,2000
1.0,-15.9587956,-54.30949205,2003
1.0,-15.9587956,-54.30949205,2008
1.0,-15.9587956,-54.30949205,2010
1.0,-15.9587956,-54.30949205,2012
0.0,-15.9587956,-54.30949205,2007
1.0,-18.686080800000003,-44.34600774,2014
1.0,-10.59666184,-39.28274347,2006
0.0,-10.59666184,-39.28274347,2005
1.0,-18.6165512,-56.65382544,1985
1.0,-18.6165512,-56.65382544,1996
1.0,-18.6165512,-56.65382544,2002
1.0,-18.6165512,-56.65382544,2004
1.0,-25.59807793,-50.64948609,1996
1.0,-16.9543086,-46.90566731,1987
1.0,-16.9543086,-46.90566731,1989
1.0,-9.051379887000001,-46.16240124,1995
1.0,-9.051379887000001,-46.16240124,1999
1.0,-13.85646834,-49.80650702,2002
1.0,-13.85646834,-49.80650702,2007
1.0,-13.85646834,-49.80650702,2011
1.0,-13.85646834,-49.80650702,2013
1.0,-13.85646834,-49.80650702,2015
0.0,-13.85646834,-49.80650702,2001
0.0,-13.85646834,-49.80650702,2006
1.0,-1.8240741000000003,-46.3386507,1991
1.0,-1.8240741000000003,-46.3386507,2013
1.0,-30.41448515,-54.59704277,1990
1.0,-10.97961364,-62.20433592,1993
1.0,-16.32288279,-47.48400269,1987
1.0,-16.32288279,-47.48400269,1991
1.0,-16.32288279,-47.48400269,1994
1.0,-16.32288279,-47.48400269,2004
0.0,-16.32288279,-47.48400269,2003
1.0,-15.74832033,-58.82029242,1988
1.0,-16.59237737,-46.3238285,1990
1.0,-3.528088363,-49.60142164,1992
1.0,-3.528088363,-49.60142164,1997
1.0,-3.528088363,-49.60142164,2004
1.0,-3.528088363,-49.60142164,2009
1.0,-14.933638199999999,-50.16170089,1994
0.0,-14.933638199999999,-50.16170089,1993
1.0,-9.899479347,-68.30353738,1997
1.0,-9.899479347,-68.30353738,2000
1.0,-13.08490534,-53.57592779,1991
1.0,-6.170752265,-44.90709546,2003
1.0,-6.170752265,-44.90709546,2015
1.0,-7.63922826,-38.91111044,1993
0.0,-7.63922826,-38.91111044,1992
1.0,-7.436298838,-41.91301062,1995
1.0,-16.11914488,-53.77993519,1988
1.0,-8.011669777,-45.31969167,1994
1.0,-19.45306239,-51.68165035,2005
1.0,-23.11711077,-48.57383879,1997
1.0,-23.11711077,-48.57383879,2015
0.0,-23.11711077,-48.57383879,2013
0.0,-23.11711077,-48.57383879,2014
1.0,-20.40222232,-44.89469871,1997
1.0,-11.63098206,-62.15690488,1997
1.0,-18.49150571,-48.60968157,1994
1.0,-7.162761833999999,-49.42274673,1988
0.0,-7.162761833999999,-49.42274673,1987
1.0,-15.90489668,-56.54306317,1988
1.0,-15.90489668,-56.54306317,2005
1.0,-15.90489668,-56.54306317,2009
1.0,-15.90489668,-56.54306317,2013
1.0,-18.95395842,-53.94513537,1987
1.0,-18.95395842,-53.94513537,1998
1.0,-18.95395842,-53.94513537,2004
0.0,-18.95395842,-53.94513537,1985
0.0,-18.95395842,-53.94513537,1986
1.0,-24.81869959,-54.01978537,1993
1.0,-24.81869959,-54.01978537,1998
1.0,-18.1336169,-40.23837127,1987
1.0,-18.1336169,-40.23837127,2002
1.0,-16.8793891,-51.77893789,2010
1.0,-9.897862379,-41.84267253,1986
1.0,-19.70342286,-46.20255593,1987
1.0,-19.70342286,-46.20255593,1991
1.0,-19.70342286,-46.20255593,1994
1.0,-19.70342286,-46.20255593,1998
1.0,-19.70342286,-46.20255593,2011
1.0,-14.24885246,-53.96157454,2001
1.0,-18.72542701,-54.735023999999996,1994
1.0,-18.72542701,-54.735023999999996,1997
1.0,-18.72542701,-54.735023999999996,2000
1.0,-18.72542701,-54.735023999999996,2005
0.0,-18.72542701,-54.735023999999996,1996
1.0,-28.32886656,-52.31819656,2006
1.0,-12.33975282,-60.8964787,1986
1.0,-14.10655932,-55.29126082,1987
1.0,-14.10655932,-55.29126082,2001
1.0,-6.963335841,-50.49425720000001,1997
1.0,-6.963335841,-50.49425720000001,2004
0.0,-6.963335841,-50.49425720000001,2003
1.0,-7.447348116000001,-48.87378626,2001
1.0,-12.29798116,-37.88137163,1985
1.0,-20.6474624,-49.06485792,2001
1.0,-13.11616672,-60.28553448,2003
1.0,-23.55908189,-46.28502128,1986
1.0,-23.55908189,-46.28502128,1989
1.0,-23.55908189,-46.28502128,1994
1.0,-23.55908189,-46.28502128,1997
1.0,-23.55908189,-46.28502128,2004
1.0,-18.243301199999998,-43.87547019,1989
1.0,-10.32069938,-57.58546823,1994
0.0,-10.32069938,-57.58546823,1993
1.0,-20.31059416,-54.77248375,1994
1.0,-21.28158315,-56.01566227,2002
1.0,-19.19326961,-45.72905395,1994
1.0,-19.19326961,-45.72905395,2010
1.0,-19.19326961,-45.72905395,2015
1.0,-9.068088551,-39.93788481,1998
1.0,-19.50022395,-55.15597454,1992
1.0,-4.353280783,-48.36632796,2002
1.0,-12.80570895,-58.54702491,1987
1.0,-12.80570895,-58.54702491,1989
1.0,-12.80570895,-58.54702491,2001
1.0,-12.80570895,-58.54702491,2013
0.0,-12.80570895,-58.54702491,2000
0.0,-12.80570895,-58.54702491,2012
1.0,-14.32350246,-55.21795829,2004
1.0,-22.06877684,-49.17750666,1988
1.0,-22.06877684,-49.17750666,1993
1.0,-22.06877684,-49.17750666,1997
1.0,-13.82951888,-43.95012019,1990
0.0,-13.82951888,-43.95012019,1989
1.0,-21.96556041,-50.52390161,1987
1.0,-29.97871241,-54.21840288,1998
1.0,-29.97871241,-54.21840288,2003
1.0,-29.97871241,-54.21840288,2007
1.0,-29.97871241,-54.21840288,2009
1.0,-17.56552232,-49.37908861,2006
1.0,-14.05993675,-57.39116263,1985
1.0,-14.05993675,-57.39116263,2011
1.0,-6.471508223,-48.41726244,1991
1.0,-6.471508223,-48.41726244,2004
1.0,-7.847547575,-44.68314546,1987
1.0,-7.847547575,-44.68314546,1990
1.0,-7.847547575,-44.68314546,2001
0.0,-7.847547575,-44.68314546,1986
1.0,-17.50003513,-47.19079258,1996
1.0,-15.814616000000001,-48.22214836,1998
1.0,-15.814616000000001,-48.22214836,2000
1.0,-15.814616000000001,-48.22214836,2003
1.0,-15.814616000000001,-48.22214836,2007
1.0,-15.814616000000001,-48.22214836,2011
0.0,-15.814616000000001,-48.22214836,2006
0.0,-15.814616000000001,-48.22214836,2009
0.0,-15.814616000000001,-48.22214836,2010
1.0,-21.38560806,-48.65441767,1988
1.0,-21.38560806,-48.65441767,1992
1.0,-5.864875911,-43.91885882,2005
1.0,-8.901540898,-47.79769438,2010
1.0,-23.93448785,-51.84415558,2014
1.0,-27.58074959,-50.77965197,2000
1.0,-27.58074959,-50.77965197,2002
1.0,-27.58074959,-50.77965197,2009
1.0,-27.58074959,-50.77965197,2011
1.0,-27.58074959,-50.77965197,2014
1.0,-17.17502466,-44.91302434,1993
1.0,-6.515705335,-48.08389763,2001
1.0,-6.515705335,-48.08389763,2004
1.0,-6.515705335,-48.08389763,2010
1.0,-6.515705335,-48.08389763,2014
1.0,-5.965397391000001,-52.25486533,2012
1.0,-9.353213822,-51.00899186,1997
1.0,-20.83799507,-50.80552345,1995
1.0,-14.01358368,-58.21770252,2009
1.0,-18.88631528,-44.07166225,1996
1.0,-18.88631528,-44.07166225,2000
1.0,-18.1190642,-45.73794727,2008
0.0,-18.1190642,-45.73794727,2007
1.0,-13.25980733,-49.95445955,1994
1.0,-13.25980733,-49.95445955,2009
0.0,-13.25980733,-49.95445955,1993
1.0,-3.648013453,-50.82088464,2008
1.0,-7.680999921000001,-73.10673937,2001
1.0,-22.62447467,-53.39752237,2012
1.0,-9.966852993,-57.58142581,2001
1.0,-17.35801149,-56.5816009,1985
1.0,-17.35801149,-56.5816009,2006
1.0,-4.418228978,-46.42084655,1985
1.0,-4.418228978,-46.42084655,1991
1.0,-4.418228978,-46.42084655,2007
1.0,-14.89294452,-47.61659402,1990
1.0,-14.89294452,-47.61659402,1993
1.0,-14.89294452,-47.61659402,1996
1.0,-14.89294452,-47.61659402,1998
1.0,-14.89294452,-47.61659402,2002
1.0,-14.89294452,-47.61659402,2004
1.0,-14.89294452,-47.61659402,2009
1.0,-14.89294452,-47.61659402,2011
0.0,-14.89294452,-47.61659402,1989
0.0,-14.89294452,-47.61659402,2014
0.0,-14.89294452,-47.61659402,2015
1.0,-24.90898027,-51.02408356,1986
1.0,-24.90898027,-51.02408356,1991
1.0,-24.90898027,-51.02408356,1999
1.0,-24.90898027,-51.02408356,2009
0.0,-24.90898027,-51.02408356,1985
1.0,-20.49897088,-45.34637164,1994
1.0,-20.49897088,-45.34637164,1999
1.0,-22.89774218,-46.50897128,1999
1.0,-16.06012557,-39.6743191,1990
0.0,-16.06012557,-39.6743191,1989
1.0,-6.883565442999999,-37.39304744,2012
1.0,-6.2251901720000005,-40.003102500000004,1985
1.0,-8.411599742,-70.1786807,2009
1.0,-8.411599742,-70.1786807,2015
1.0,-9.242990537,-51.02435305,1998
0.0,-9.242990537,-51.02435305,1997
1.0,-12.27291816,-39.06499184,1988
1.0,-12.27291816,-39.06499184,1993
1.0,-12.27291816,-39.06499184,2003
0.0,-12.27291816,-39.06499184,1986
0.0,-12.27291816,-39.06499184,1987
0.0,-12.27291816,-39.06499184,1992
0.0,-12.27291816,-39.06499184,2001
0.0,-12.27291816,-39.06499184,2002
1.0,-16.11537196,-50.87235811,2015
1.0,-9.55641274,-50.74003627,1991
1.0,-9.55641274,-50.74003627,1993
1.0,-9.55641274,-50.74003627,1995
1.0,-9.55641274,-50.74003627,1998
1.0,-9.55641274,-50.74003627,2001
1.0,-6.362901905,-53.01106714,1986
1.0,-6.362901905,-53.01106714,1998
0.0,-6.362901905,-53.01106714,1985
1.0,-28.38572992,-51.151554499999996,2015
1.0,-23.25482251,-45.18871731,1996
1.0,-19.26118225,-47.09054059,1987
1.0,-30.05659634,-53.60395522,1994
1.0,-30.05659634,-53.60395522,1998
1.0,-5.944376814,-55.3171323,1992
1.0,-15.09722141,-55.90139656,1995
1.0,-8.353658406000001,-55.22685162,2007
1.0,-5.58918295,-40.82101856,1985
1.0,-5.58918295,-40.82101856,1989
1.0,-5.58918295,-40.82101856,1991
1.0,-5.58918295,-40.82101856,1995
0.0,-5.58918295,-40.82101856,1987
0.0,-5.58918295,-40.82101856,1988
1.0,-6.3828445039999995,-49.10231767,1989
1.0,-6.3828445039999995,-49.10231767,1991
1.0,-6.3828445039999995,-49.10231767,1994
0.0,-6.3828445039999995,-49.10231767,1993
1.0,-8.520475553999999,-48.72906767,2000
1.0,-8.520475553999999,-48.72906767,2005
1.0,-8.520475553999999,-48.72906767,2009
1.0,-8.520475553999999,-48.72906767,2012
1.0,-8.520475553999999,-48.72906767,2014
0.0,-8.520475553999999,-48.72906767,2011
1.0,-13.92141654,-40.98648824,2008
1.0,-13.92141654,-40.98648824,2010
0.0,-13.92141654,-40.98648824,2007
1.0,-3.391724102,-39.51343083,1986
1.0,-7.621980607,-47.58263771,1991
1.0,-7.621980607,-47.58263771,1995
1.0,-7.621980607,-47.58263771,1998
0.0,-7.621980607,-47.58263771,1994
1.0,-20.19201655,-56.88154837,1986
1.0,-14.28846816,-56.61043682,2004
1.0,-16.25550914,-59.66407996,1990
1.0,-21.91759038,-57.25991877,2007
1.0,-21.91759038,-57.25991877,2011
1.0,-3.317343597,-46.26211424,2008
1.0,-8.007896853,-63.29740596,1987
1.0,-8.062873748,-46.52352399,1998
1.0,-8.062873748,-46.52352399,2000
1.0,-8.062873748,-46.52352399,2002
1.0,-13.48456581,-45.98480431,1991
1.0,-11.88403747,-63.06456264,1986
1.0,-11.88403747,-63.06456264,1989
0.0,-11.88403747,-63.06456264,1985
1.0,-9.624864364,-48.4191489,1989
1.0,-9.624864364,-48.4191489,1998
1.0,-26.29391294,-49.1807406,1991
1.0,-26.29391294,-49.1807406,1995
1.0,-26.29391294,-49.1807406,2007
0.0,-26.29391294,-49.1807406,2006
1.0,-10.15711617,-46.66581713,2014
0.0,-10.15711617,-46.66581713,2013
1.0,-5.966744864,-49.95553753,1987
1.0,-11.86921527,-49.73077904,1989
1.0,-9.924542342999999,-50.99255269,1993
0.0,-9.924542342999999,-50.99255269,1992
1.0,-9.055422306,-44.35921297,1990
1.0,-9.055422306,-44.35921297,1995
1.0,-9.055422306,-44.35921297,2006
1.0,-9.055422306,-44.35921297,2008
1.0,-6.681983494,-48.60456117,1986
1.0,-6.681983494,-48.60456117,2003
1.0,-6.681983494,-48.60456117,2009
1.0,-6.681983494,-48.60456117,2013
1.0,-16.01242502,-45.01435431,1989
1.0,-4.5319556930000005,-45.17308662,1997
1.0,-4.5319556930000005,-45.17308662,2001
1.0,-20.98379164,-48.44717634,2008
1.0,-20.98379164,-48.44717634,2014
1.0,-0.387398466,-63.42083448,1986
1.0,-1.808443414,-46.44402308,2000
1.0,-6.922103169,-35.8717505,2011
0.0,-6.922103169,-35.8717505,2010
1.0,-9.887621585,-62.15070649999999,2011
1.0,-9.887621585,-62.15070649999999,2013
1.0,-11.03216509,-56.56812617,2003
1.0,-20.25615626,-41.55754726,1997
1.0,-20.25615626,-41.55754726,2000
1.0,-20.25615626,-41.55754726,2009
1.0,-20.25615626,-41.55754726,2011
1.0,-20.38605265,-52.76043717,1990
1.0,-20.38605265,-52.76043717,1994
1.0,-20.38605265,-52.76043717,2001
1.0,-20.38605265,-52.76043717,2007
1.0,-20.38605265,-52.76043717,2011
0.0,-20.38605265,-52.76043717,1993
0.0,-20.38605265,-52.76043717,1999
0.0,-20.38605265,-52.76043717,2000
1.0,-11.87244921,-38.70979798,2005
1.0,-11.87244921,-38.70979798,2010
1.0,-11.87244921,-38.70979798,2013
1.0,-15.51709398,-41.506073799999996,1998
1.0,-15.23574163,-39.02941856,2004
1.0,-15.23574163,-39.02941856,2009
1.0,-15.23574163,-39.02941856,2011
1.0,-23.67927648,-47.95049781,2002
1.0,-6.13517898,-38.58502199,2011
1.0,-10.55219523,-56.04827111,1996
1.0,-15.47747827,-39.72363661,1987
1.0,-15.47747827,-39.72363661,1992
1.0,-17.4868299,-41.64728896,2001
1.0,-12.42949451,-48.31593247,1990
1.0,-12.42949451,-48.31593247,2002
1.0,-12.42949451,-48.31593247,2009
1.0,-10.444127900000002,-62.81177672,1996
1.0,-10.444127900000002,-62.81177672,1998
1.0,-10.444127900000002,-62.81177672,2003
1.0,-10.1854131,-48.73203211,1987
1.0,-10.62792321,-58.4279083,2009
1.0,-4.966650458999999,-36.96724599,2001
1.0,1.3457212109999999,-49.97601912,2010
1.0,-6.127363637,-40.38659329,2000
1.0,-8.691335121,-48.69969276,2015
1.0,-28.56332685,-51.20868735,1996
1.0,-11.97377917,-46.01768265,2000
1.0,-19.53175481,-44.45299709,1987
1.0,-19.53175481,-44.45299709,1989
1.0,-19.53175481,-44.45299709,2003
1.0,-19.53175481,-44.45299709,2009
0.0,-19.53175481,-44.45299709,2002
0.0,-19.53175481,-44.45299709,2008
1.0,-10.40154776,-65.28465903,2005
1.0,-12.96498025,-61.47184964,2004
1.0,-11.55606256,-47.27029348,1997
1.0,-11.55606256,-47.27029348,2005
1.0,-11.55606256,-47.27029348,2007
1.0,-11.55606256,-47.27029348,2009
1.0,-11.55606256,-47.27029348,2012
1.0,1.349494136,-50.70607995,2005
1.0,-10.39750534,-61.27808303,1990
1.0,-20.9953799,-41.83135376,1995
1.0,-20.9953799,-41.83135376,2007
1.0,-7.905758405,-39.08197,1988
1.0,-30.49048263,-53.1970184,1995
1.0,-9.200679887,-43.09285792,1992
1.0,-11.97566563,-40.66498120000001,1994
1.0,-11.97566563,-40.66498120000001,2006
1.0,-14.79511798,-54.34021443,2011
0.0,-14.79511798,-54.34021443,2010
1.0,-20.6323707,-41.79308553,1987
1.0,-14.07368098,-40.21815917,1994
1.0,-9.381780249,-39.07873607,1987
1.0,-9.381780249,-39.07873607,1992
1.0,-9.381780249,-39.07873607,1995
1.0,-9.381780249,-39.07873607,1997
0.0,-9.381780249,-39.07873607,1985
0.0,-9.381780249,-39.07873607,1986
0.0,-9.381780249,-39.07873607,1994
1.0,-7.234177899,-39.75759293,1986
1.0,-11.54204884,-57.66766407,2012
1.0,-15.81111257,-41.8642321,2009
0.0,-15.81111257,-41.8642321,2008
1.0,-22.63094254,-55.15435757,1995
1.0,-22.63094254,-55.15435757,1998
1.0,-22.63094254,-55.15435757,2006
1.0,-22.63094254,-55.15435757,2010
0.0,-22.63094254,-55.15435757,1997
1.0,-13.08867827,-55.18130703,2003
1.0,-15.02176293,-57.14484458,1995
1.0,-15.02176293,-57.14484458,1997
1.0,-3.693288543,-48.06638049,2004
1.0,-3.693288543,-48.06638049,2006
1.0,-3.693288543,-48.06638049,2013
1.0,-15.00774921,-44.33037705,2007
1.0,-3.936642154,-38.94641423,1985
1.0,-3.936642154,-38.94641423,1990
0.0,-3.936642154,-38.94641423,1989
1.0,-5.689973925,-53.65515919,1989
1.0,-5.689973925,-53.65515919,2009
1.0,-10.53683404,-51.79726352,1996
1.0,-10.53683404,-51.79726352,1999
1.0,-11.53315552,-40.4210886,2005
1.0,-2.804495401,-44.71413734,1985
1.0,-22.40483659,-47.91438554,1989
1.0,-22.40483659,-47.91438554,1992
1.0,-22.40483659,-47.91438554,1995
1.0,-22.40483659,-47.91438554,1997
1.0,-22.40483659,-47.91438554,2000
0.0,-22.40483659,-47.91438554,1988
0.0,-22.40483659,-47.91438554,1994
0.0,-22.40483659,-47.91438554,1999
1.0,-27.86776132,-52.98627363,1987
1.0,-27.86776132,-52.98627363,1990
1.0,-27.86776132,-52.98627363,2015
1.0,-13.67294253,-45.94815305,1986
1.0,-13.67294253,-45.94815305,1988
1.0,-13.67294253,-45.94815305,1990
1.0,-13.67294253,-45.94815305,1992
1.0,-13.67294253,-45.94815305,2001
1.0,-15.34434795,-48.01463753,2014
1.0,-12.37370913,-52.13709620000001,1998
1.0,-12.30391004,-51.44233916,2004
1.0,-9.798149383,-62.35794784,1987
1.0,-7.980138911,-39.34876964,1998
1.0,-6.220339269,-48.66061605,2003
1.0,-10.49182845,-44.8553525,1985
1.0,-10.49182845,-44.8553525,1999
0.0,-10.49182845,-44.8553525,1997
0.0,-10.49182845,-44.8553525,1998
1.0,-11.24749126,-40.31921964,1996
1.0,-19.62122701,-41.45756477,2002
1.0,-19.62122701,-41.45756477,2009
1.0,-18.92943441,-55.66828375,1989
1.0,-6.209020497000001,-38.92512416,1995
0.0,-6.209020497000001,-38.92512416,1994
1.0,-30.31396367,-52.38395324,1991
1.0,-30.31396367,-52.38395324,2001
1.0,-8.066916167,-37.75174473,1987
1.0,-8.066916167,-37.75174473,2015
1.0,-26.87494327,-50.72683103,1985
1.0,-9.110668696,-50.57079367,1994
1.0,-9.110668696,-50.57079367,2001
1.0,-11.69943368,-62.59159964,1993
1.0,-16.57944163,-48.14561189,1997
1.0,-11.35043819,-55.01071696,1986
1.0,-11.35043819,-55.01071696,2001
1.0,-17.18499596,-42.52691929,1988
1.0,-17.18499596,-42.52691929,1993
1.0,-17.18499596,-42.52691929,2001
1.0,-17.18499596,-42.52691929,2008
1.0,-17.18499596,-42.52691929,2010
1.0,-17.18499596,-42.52691929,2015
0.0,-17.18499596,-42.52691929,2007
0.0,-17.18499596,-42.52691929,2014
1.0,-18.98845373,-57.46338718,1991
1.0,-18.98845373,-57.46338718,1996
1.0,-11.19709577,-58.99708086,1993
1.0,-1.8089824030000001,-45.88670828,1996
1.0,-17.37903207,-39.58592488,2014
1.0,-14.98430318,-39.96672073,2015
1.0,-12.9229391,-57.60810577,1988
1.0,-12.9229391,-57.60810577,1994
1.0,-10.25305624,-51.4550054,2004
1.0,-17.63262647,-39.93114744,2014
1.0,-10.2304187,-49.23652598,1985
1.0,-10.2304187,-49.23652598,1993
1.0,-10.2304187,-49.23652598,1997
1.0,-18.03201745,-55.49984963,2010
1.0,-17.70188658,-53.11158862,1996
1.0,-17.70188658,-53.11158862,1999
1.0,-17.70188658,-53.11158862,2001
1.0,-17.70188658,-53.11158862,2004
0.0,-17.70188658,-53.11158862,1995
0.0,-17.70188658,-53.11158862,1998
0.0,-17.70188658,-53.11158862,2003
1.0,-29.01419129,-51.0370193,1993
1.0,-11.32860913,-50.07357616,1994
1.0,-11.32860913,-50.07357616,1999
1.0,-11.32860913,-50.07357616,2003
1.0,-30.15684833,-51.9576128,1990
1.0,-9.897862379,-56.83735126,1985
1.0,-9.897862379,-56.83735126,1987
1.0,-9.897862379,-56.83735126,2008
1.0,-9.897862379,-56.83735126,2011
1.0,-9.897862379,-56.83735126,2013
0.0,-9.897862379,-56.83735126,2007
1.0,-17.332679000000002,-45.48327489,2001
1.0,-12.81460228,-38.48396152,1990
1.0,-12.81460228,-38.48396152,1992
1.0,-12.81460228,-38.48396152,1995
1.0,-12.81460228,-38.48396152,2002
1.0,-12.81460228,-38.48396152,2004
1.0,3.553690348,-51.15936984,2006
1.0,3.553690348,-51.15936984,2013
1.0,-18.38963676,-46.82697489,2006
1.0,-8.791317612,-42.85354672,1988
1.0,-8.791317612,-42.85354672,1991
1.0,-11.69054036,-51.82259602,2001
1.0,-11.69054036,-51.82259602,2003
1.0,-11.69054036,-51.82259602,2006
0.0,-11.69054036,-51.82259602,2005
1.0,-14.51484361,-54.80913501,2003
1.0,-14.59676997,-40.3712321,2002
1.0,-14.59676997,-40.3712321,2004
1.0,-14.59676997,-40.3712321,2009
1.0,-11.59298332,-58.66775848,2014
1.0,-15.043053,-56.45008754,2004
1.0,-2.26900966,-46.28178734,1987
1.0,-4.966380964,-47.94537742,1988
1.0,-9.694393967,-42.0933025,1991
1.0,-9.694393967,-42.0933025,2004
1.0,-9.694393967,-42.0933025,2009
1.0,-9.233827721,-41.97607235,1988
1.0,-9.233827721,-41.97607235,1996
1.0,-9.233827721,-41.97607235,2005
0.0,-9.233827721,-41.97607235,2004
1.0,-3.141902622,-64.83918448,1986
1.0,-1.502297565,-48.06691948,1994
1.0,-1.502297565,-48.06691948,2005
1.0,-1.502297565,-48.06691948,2008
1.0,-1.502297565,-48.06691948,2011
