,system:index,consistent_change,consistent_change_two_years_1985,consistent_change_two_years_1986,consistent_change_two_years_1987,consistent_change_two_years_1988,consistent_change_two_years_1989,consistent_change_two_years_1990,consistent_change_two_years_1991,consistent_change_two_years_1992,consistent_change_two_years_1993,consistent_change_two_years_1994,consistent_change_two_years_1995,consistent_change_two_years_1996,consistent_change_two_years_1997,consistent_change_two_years_1998,consistent_change_two_years_1999,consistent_change_two_years_2000,consistent_change_two_years_2001,consistent_change_two_years_2002,consistent_change_two_years_2003,consistent_change_two_years_2004,consistent_change_two_years_2005,consistent_change_two_years_2006,consistent_change_two_years_2007,consistent_change_two_years_2008,consistent_change_two_years_2009,consistent_change_two_years_2010,consistent_change_two_years_2011,consistent_change_two_years_2012,consistent_change_two_years_2013,consistent_change_two_years_2014,consistent_change_two_years_2015,first,latitude,longitude,one_change_1985,one_change_1986,one_change_1987,one_change_1988,one_change_1989,one_change_1990,one_change_1991,one_change_1992,one_change_1993,one_change_1994,one_change_1995,one_change_1996,one_change_1997,one_change_1998,one_change_1999,one_change_2000,one_change_2001,one_change_2002,one_change_2003,one_change_2004,one_change_2005,one_change_2006,one_change_2007,one_change_2008,one_change_2009,one_change_2010,one_change_2011,one_change_2012,one_change_2013,one_change_2014,one_change_2015,.geo
10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.8547157999210713,-47.94753337411529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-47.94753337411529,-3.8547157999210713]}"
11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.770688380709696,-53.367069483208354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-53.367069483208354,-15.770688380709696]}"
12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6462076739132268,-51.90883428249713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-51.90883428249713,-1.6462076739132268]}"
13,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.932896675330575,-50.88933626654988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-50.88933626654988,-9.932896675330575]}"
14,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.26977862972095,-56.90580288194038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-56.90580288194038,-13.26977862972095]}"
15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.42095136919271,-57.30654133018609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-57.30654133018609,-10.42095136919271]}"
16,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.485818881269848,-47.47861279580489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-47.47861279580489,-12.485818881269847]}"
17,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.958915798597088,-62.41238574206463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-62.41238574206463,2.9589157985970878]}"
18,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.245429711239462,-57.31327869481699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-57.31327869481699,-12.245429711239462]}"
19,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.944390536685454,-57.89296154765932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-57.89296154765932,-8.944390536685454]}"
20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.121017618670757,-60.270981767780505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-60.270981767780505,-13.121017618670757]}"
21,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.260143784771612,-46.30334690959131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-46.30334690959131,-8.260143784771612]}"
22,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5549434153285357,-44.961802864287215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-44.961802864287215,-2.5549434153285353]}"
23,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.402248114155621,-54.85656605580692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-54.85656605580692,-6.402248114155621]}"
24,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.44406094340384,-58.491509021468154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-58.491509021468154,-15.44406094340384]}"
25,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.120034046140075,-47.48885359004385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-47.48885359004385,-14.120034046140075]}"
26,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.110210389570216,-59.83440053969843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-59.83440053969843,-7.110210389570216]}"
27,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3667417890236448,-61.825157040835705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-61.825157040835705,-1.3667417890236448]}"
28,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.8618170649474655,-49.791954315469475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-49.791954315469475,-4.8618170649474655]}"
29,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.438429002804998,-50.99902056274088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-50.99902056274088,-21.438429002804998]}"
30,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.704542009934148,-51.643112621454584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-51.643112621454584,-28.704542009934148]}"
31,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.6922242878694025,-47.012656657932084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-47.012656657932084,-6.6922242878694025]}"
32,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.778017971784668,-42.21322758946672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-42.21322758946672,-7.778017971784668]}"
33,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.922830969866586,-50.51042687970827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-50.51042687970827,-8.922830969866586]}"
34,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.038808047328267,-64.30693267627271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-64.30693267627271,-10.038808047328267]}"
35,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.103756242370107,-54.129739159425824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-54.129739159425824,-10.103756242370107]}"
36,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.804603529912754,-44.92164817108707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-44.92164817108707,-6.804603529912754]}"
37,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.7109000972153865,-43.37663571392992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-43.37663571392992,-4.7109000972153865]}"
38,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.340466894017453,-47.93998752572868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-47.939987525728675,-11.340466894017453]}"
39,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.0740174321839,-65.91446787720459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-65.91446787720459,-9.0740174321839]}"
40,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.33238205646038,-48.452027237676795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-48.452027237676795,-11.33238205646038]}"
41,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.64053621888633,-41.50580430322261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-41.505804303222604,-18.64053621888633]}"
42,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9954726563788965,-54.509457030023135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-54.509457030023135,-1.9954726563788965]}"
43,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.577177545664801,-41.06221621592438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-41.06221621592438,-12.577177545664801]}"
44,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.089795761211448,-48.00304925867386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-48.00304925867386,-2.0897957612114477]}"
45,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.942059491228594,-54.24023193937252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-54.24023193937252,-9.942059491228594]}"
46,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.189227194426525,-49.28961640858984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-49.28961640858984,-19.189227194426532]}"
47,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6966975671625955,-45.35984636668057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-45.35984636668057,-2.6966975671625955]}"
48,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.414888568079213,-56.36250179810489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-56.36250179810489,-20.414888568079213]}"
49,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.6389587658029665,-73.08491030657501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-73.08491030657501,-7.6389587658029665]}"
50,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.084797215593335,-59.03858302949696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-59.038583029496955,-9.084797215593335]}"
51,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9561264469344608,-49.47448969406163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-49.47448969406163,-1.9561264469344608]}"
52,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.06520644794444,-51.2329418627256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-51.2329418627256,-27.06520644794444]}"
53,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9535259068923674,-42.50131730108385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-42.50131730108385,-2.9535259068923674]}"
54,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.170577176663048,-57.32540595115261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-57.32540595115261,-7.170577176663048]}"
55,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.547991447494613,-40.57631747874414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-40.57631747874414,-14.547991447494613]}"
56,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.593105171884826,-45.696175609054926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-45.696175609054926,-18.593105171884826]}"
57,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.404256427753642,-57.45718880333294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-57.45718880333294,-13.404256427753642]}"
58,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.292496857845473,-48.56009456635638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-48.56009456635638,-11.292496857845473]}"
59,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.768113632250098,-52.08211930080378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-52.08211930080378,-2.768113632250098]}"
60,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.004824283897444,-47.476456839123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-47.476456839123,-4.0048242838974435]}"
61,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.024808051741555,-60.94552671462586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-60.94552671462586,-13.024808051741555]}"
62,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.611995584433828,-39.45737596084485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-39.45737596084485,-4.611995584433828]}"
63,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.841874465640013,-46.99594799364746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-46.99594799364746,-4.841874465640013]}"
64,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.580128263256839,-55.19127833066986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-55.19127833066986,-9.580128263256839]}"
65,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.912428809698202,-53.48672507905306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""type"":""Point"",""coordinates"":[-53.48672507905306,-12.912428809698202]}"
