system:index,Lat,Lon,one_change,.geo
111,0.8285101950759114,-59.57209864710045,1,"{""type"":""Point"",""coordinates"":[-59.57209864710045,0.8285101950759114]}"
113,-15.992753423825707,-55.283783921236825,1,"{""type"":""Point"",""coordinates"":[-55.283783921236825,-15.992753423825707]}"
117,-9.066226347704204,-63.53536867356542,1,"{""type"":""Point"",""coordinates"":[-63.53536867356542,-9.066226347704204]}"
118,-4.401622902236186,-62.20534265077589,1,"{""type"":""Point"",""coordinates"":[-62.20534265077589,-4.401622902236186]}"
121,-17.706226434380422,-54.38428557983084,1,"{""type"":""Point"",""coordinates"":[-54.38428557983084,-17.706226434380422]}"
122,-32.308620371686565,-52.99804080603736,1,"{""type"":""Point"",""coordinates"":[-52.99804080603736,-32.308620371686565]}"
126,-14.739887486069485,-50.436768654907276,1,"{""type"":""Point"",""coordinates"":[-50.436768654907276,-14.739887486069485]}"
137,2.7089557169081773,-61.69091927577405,1,"{""type"":""Point"",""coordinates"":[-61.69091927577405,2.7089557169081773]}"
149,-1.4466545245366729,-46.51092391584058,1,"{""type"":""Point"",""coordinates"":[-46.51092391584058,-1.4466545245366729]}"
152,-14.426228698458095,-52.72998731991017,1,"{""type"":""Point"",""coordinates"":[-52.72998731991017,-14.426228698458095]}"
154,-16.940203444323235,-54.824698280545604,1,"{""type"":""Point"",""coordinates"":[-54.824698280545604,-16.940203444323235]}"
162,0.7854337840116017,-58.468498556743114,1,"{""type"":""Point"",""coordinates"":[-58.468498556743114,0.7854337840116017]}"
165,-14.760716197637741,-55.66656925273818,1,"{""type"":""Point"",""coordinates"":[-55.66656925273818,-14.760716197637741]}"
166,-15.39727271242621,-55.67063072918829,1,"{""type"":""Point"",""coordinates"":[-55.67063072918829,-15.39727271242621]}"
167,-27.279191241885606,-51.15026025170487,1,"{""type"":""Point"",""coordinates"":[-51.15026025170487,-27.279191241885606]}"
169,-12.688720495770658,-56.36586246307915,1,"{""type"":""Point"",""coordinates"":[-56.36586246307915,-12.688720495770658]}"
175,-5.570089358627551,-36.42177715488383,1,"{""type"":""Point"",""coordinates"":[-36.42177715488383,-5.570089358627551]}"
177,-15.750983934154663,-56.146700304378506,1,"{""type"":""Point"",""coordinates"":[-56.146700304378506,-15.750983934154663]}"
184,-8.247497670358657,-51.171882658657154,1,"{""type"":""Point"",""coordinates"":[-51.171882658657154,-8.247497670358657]}"
193,-20.786453373474405,-42.598595413242876,1,"{""type"":""Point"",""coordinates"":[-42.598595413242876,-20.786453373474405]}"
209,-9.39162086470844,-56.381614569164,1,"{""type"":""Point"",""coordinates"":[-56.381614569164,-9.39162086470844]}"
219,-4.115111223189583,-50.50086710531526,1,"{""type"":""Point"",""coordinates"":[-50.50086710531526,-4.115111223189583]}"
225,-2.9733099244274364,-48.747892908251316,1,"{""type"":""Point"",""coordinates"":[-48.747892908251316,-2.9733099244274364]}"
247,-10.299606161392026,-64.377636812888,1,"{""type"":""Point"",""coordinates"":[-64.377636812888,-10.299606161392026]}"
248,-9.588090977899123,-49.971786889073776,1,"{""type"":""Point"",""coordinates"":[-49.971786889073776,-9.588090977899123]}"
250,-20.754370709288676,-53.91430904942547,1,"{""type"":""Point"",""coordinates"":[-53.91430904942547,-20.754370709288676]}"
254,-12.750951077423503,-60.015618915535626,1,"{""type"":""Point"",""coordinates"":[-60.015618915535626,-12.750951077423503]}"
255,-14.80335833387852,-55.13131797598712,1,"{""type"":""Point"",""coordinates"":[-55.13131797598712,-14.80335833387852]}"
258,-1.4901203205569726,-54.34238434858533,1,"{""type"":""Point"",""coordinates"":[-54.34238434858533,-1.4901203205569726]}"
259,-5.245001094833376,-50.12380744137555,1,"{""type"":""Point"",""coordinates"":[-50.12380744137555,-5.245001094833376]}"
262,-11.069397960312271,-60.90427955733208,1,"{""type"":""Point"",""coordinates"":[-60.90427955733208,-11.069397960312271]}"
269,-8.891818519457896,-63.30541850427423,1,"{""type"":""Point"",""coordinates"":[-63.30541850427423,-8.891818519457896]}"
270,-6.2088818927223866,-35.190518172659196,1,"{""type"":""Point"",""coordinates"":[-35.190518172659196,-6.2088818927223866]}"
275,-5.21963436700893,-36.69045959840264,1,"{""type"":""Point"",""coordinates"":[-36.69045959840264,-5.21963436700893]}"
285,0.9183158515378781,-60.117940066208384,1,"{""type"":""Point"",""coordinates"":[-60.117940066208384,0.9183158515378781]}"
286,-16.604002828872247,-52.75653443565522,1,"{""type"":""Point"",""coordinates"":[-52.75653443565522,-16.604002828872247]}"
292,-11.455174365248425,-53.06641229619833,1,"{""type"":""Point"",""coordinates"":[-53.06641229619833,-11.455174365248425]}"
296,-9.855783098520455,-53.83660397104696,1,"{""type"":""Point"",""coordinates"":[-53.83660397104696,-9.855783098520455]}"
301,-1.2941842003724802,-60.519037040220894,1,"{""type"":""Point"",""coordinates"":[-60.519037040220894,-1.2941842003724802]}"
302,-16.02465863338404,-53.54657245500664,1,"{""type"":""Point"",""coordinates"":[-53.54657245500664,-16.02465863338404]}"
307,-17.865543145552408,-49.21006552483404,1,"{""type"":""Point"",""coordinates"":[-49.21006552483404,-17.865543145552408]}"
309,-3.1797354137736407,-46.676731288373794,1,"{""type"":""Point"",""coordinates"":[-46.676731288373794,-3.1797354137736407]}"
313,-6.012201860772312,-56.59623504340826,1,"{""type"":""Point"",""coordinates"":[-56.59623504340826,-6.012201860772312]}"
316,-11.724724267808906,-57.85493610188132,1,"{""type"":""Point"",""coordinates"":[-57.85493610188132,-11.724724267808906]}"
319,-15.270036465439945,-52.02038825007149,1,"{""type"":""Point"",""coordinates"":[-52.02038825007149,-15.270036465439945]}"
326,-3.1806393731601252,-52.14840523127005,1,"{""type"":""Point"",""coordinates"":[-52.14840523127005,-3.1806393731601252]}"
328,-11.045286947449462,-56.879559130617984,1,"{""type"":""Point"",""coordinates"":[-56.879559130617984,-11.045286947449462]}"
329,-15.044088851869843,-53.70062118583986,1,"{""type"":""Point"",""coordinates"":[-53.70062118583986,-15.044088851869843]}"
330,-9.973245736237095,-57.84764287947232,1,"{""type"":""Point"",""coordinates"":[-57.84764287947232,-9.973245736237095]}"
333,-10.876201155177332,-51.8892234866921,1,"{""type"":""Point"",""coordinates"":[-51.8892234866921,-10.876201155177332]}"
334,-5.393135740568062,-47.20022406254236,1,"{""type"":""Point"",""coordinates"":[-47.20022406254236,-5.393135740568062]}"
336,-5.217045791268222,-36.70990213070184,1,"{""type"":""Point"",""coordinates"":[-36.70990213070184,-5.217045791268222]}"
337,-8.382760115201657,-54.97882559663423,1,"{""type"":""Point"",""coordinates"":[-54.97882559663423,-8.382760115201657]}"
341,-17.01086015274223,-55.49911553048413,1,"{""type"":""Point"",""coordinates"":[-55.49911553048413,-17.01086015274223]}"
345,-3.7058695322630273,-50.75808628699475,1,"{""type"":""Point"",""coordinates"":[-50.75808628699475,-3.7058695322630273]}"
346,-2.0948404299049694,-44.95899149489242,1,"{""type"":""Point"",""coordinates"":[-44.95899149489242,-2.0948404299049694]}"
352,-1.057055987550202,-46.71029719290959,1,"{""type"":""Point"",""coordinates"":[-46.71029719290959,-1.057055987550202]}"
353,-4.299497432121455,-50.017136477466394,1,"{""type"":""Point"",""coordinates"":[-50.017136477466394,-4.299497432121455]}"
357,-15.159915626599073,-51.553930418353204,1,"{""type"":""Point"",""coordinates"":[-51.553930418353204,-15.159915626599073]}"
358,-4.428270213160386,-48.13147758989255,1,"{""type"":""Point"",""coordinates"":[-48.13147758989255,-4.428270213160386]}"
365,-17.668221243715156,-51.86040277697277,1,"{""type"":""Point"",""coordinates"":[-51.86040277697277,-17.668221243715156]}"
369,-9.664817644347961,-64.21783773147274,1,"{""type"":""Point"",""coordinates"":[-64.21783773147274,-9.664817644347961]}"
374,-11.532650626766273,-56.294174622719375,1,"{""type"":""Point"",""coordinates"":[-56.294174622719375,-11.532650626766273]}"
380,-6.513882220623891,-47.57671894564987,1,"{""type"":""Point"",""coordinates"":[-47.57671894564987,-6.513882220623891]}"
383,-13.677284354857836,-55.42077453557608,1,"{""type"":""Point"",""coordinates"":[-55.42077453557608,-13.677284354857836]}"
389,-18.841764673900144,-56.439154168040105,1,"{""type"":""Point"",""coordinates"":[-56.439154168040105,-18.841764673900144]}"
392,-16.862553227274734,-52.57521437322487,1,"{""type"":""Point"",""coordinates"":[-52.57521437322487,-16.862553227274734]}"
394,-20.82786197211508,-53.275518048543105,1,"{""type"":""Point"",""coordinates"":[-53.275518048543105,-20.82786197211508]}"
397,-9.608792400535624,-48.32647899377174,1,"{""type"":""Point"",""coordinates"":[-48.32647899377174,-9.608792400535624]}"
399,-15.413453677507055,-59.32746798224878,1,"{""type"":""Point"",""coordinates"":[-59.32746798224878,-15.413453677507055]}"
401,0.0019879455081015227,-49.88802004441451,1,"{""type"":""Point"",""coordinates"":[-49.88802004441451,0.0019879455081015227]}"
403,-17.712492097770912,-55.02961408063574,1,"{""type"":""Point"",""coordinates"":[-55.02961408063574,-17.712492097770912]}"
408,-13.575742103352674,-52.09057527209742,1,"{""type"":""Point"",""coordinates"":[-52.09057527209742,-13.575742103352674]}"
411,-4.089571530734857,-56.117233527123666,1,"{""type"":""Point"",""coordinates"":[-56.117233527123666,-4.089571530734857]}"
414,-17.958432737036457,-54.4947746608177,1,"{""type"":""Point"",""coordinates"":[-54.4947746608177,-17.958432737036457]}"
420,-9.64327205652394,-49.64572767242288,1,"{""type"":""Point"",""coordinates"":[-49.64572767242288,-9.64327205652394]}"
422,-17.14588748425018,-49.26649095575854,1,"{""type"":""Point"",""coordinates"":[-49.26649095575854,-17.14588748425018]}"
425,-6.712840979225797,-49.37721058316742,1,"{""type"":""Point"",""coordinates"":[-49.37721058316742,-6.712840979225797]}"
430,-27.614777249675626,-52.76175323897959,1,"{""type"":""Point"",""coordinates"":[-52.76175323897959,-27.614777249675626]}"
431,-5.365146829959907,-48.36174913427578,1,"{""type"":""Point"",""coordinates"":[-48.36174913427578,-5.365146829959907]}"
437,-11.89319885958572,-50.940806985031585,1,"{""type"":""Point"",""coordinates"":[-50.940806985031585,-11.89319885958572]}"
447,-3.9079527570522834,-49.22228168370888,1,"{""type"":""Point"",""coordinates"":[-49.22228168370888,-3.9079527570522834]}"
449,-15.407224982901766,-56.525773383125426,1,"{""type"":""Point"",""coordinates"":[-56.525773383125426,-15.407224982901766]}"
452,-14.645149395368355,-49.52462202946706,1,"{""type"":""Point"",""coordinates"":[-49.52462202946706,-14.645149395368355]}"
461,-6.131626041086991,-49.8029573228209,1,"{""type"":""Point"",""coordinates"":[-49.8029573228209,-6.131626041086991]}"
467,-9.090789262067034,-51.44789808640723,1,"{""type"":""Point"",""coordinates"":[-51.44789808640723,-9.090789262067034]}"
469,-12.172903691039988,-60.83093626236757,1,"{""type"":""Point"",""coordinates"":[-60.83093626236757,-12.172903691039988]}"
471,-20.42952252424642,-50.74705041364203,1,"{""type"":""Point"",""coordinates"":[-50.74705041364203,-20.42952252424642]}"
472,-3.4573302400996453,-48.5542471411716,1,"{""type"":""Point"",""coordinates"":[-48.5542471411716,-3.4573302400996453]}"
473,-6.337500227631146,-48.26045708312913,1,"{""type"":""Point"",""coordinates"":[-48.26045708312913,-6.337500227631146]}"
479,-29.657293737082608,-55.91847622042435,1,"{""type"":""Point"",""coordinates"":[-55.91847622042435,-29.657293737082608]}"
484,-5.999526526561164,-46.92104569084648,1,"{""type"":""Point"",""coordinates"":[-46.92104569084648,-5.999526526561164]}"
485,-10.592410518670599,-51.155076981556455,1,"{""type"":""Point"",""coordinates"":[-51.155076981556455,-10.592410518670599]}"
488,-2.5001628795204045,-49.55425517242398,1,"{""type"":""Point"",""coordinates"":[-49.55425517242398,-2.5001628795204045]}"
491,-7.8090349377364205,-52.389656395673036,1,"{""type"":""Point"",""coordinates"":[-52.389656395673036,-7.8090349377364205]}"
495,-3.2864762725667953,-47.656690136369825,1,"{""type"":""Point"",""coordinates"":[-47.656690136369825,-3.2864762725667953]}"
503,-15.393841182899079,-58.64240082183285,1,"{""type"":""Point"",""coordinates"":[-58.64240082183285,-15.393841182899079]}"
505,-10.569562162167013,-56.6380768839313,1,"{""type"":""Point"",""coordinates"":[-56.6380768839313,-10.569562162167013]}"
508,-7.62979232515226,-56.08509402324062,1,"{""type"":""Point"",""coordinates"":[-56.08509402324062,-7.62979232515226]}"
515,-12.904437541949132,-51.03721829628094,1,"{""type"":""Point"",""coordinates"":[-51.03721829628094,-12.904437541949132]}"
524,-29.76447895820547,-56.356800462277874,1,"{""type"":""Point"",""coordinates"":[-56.356800462277874,-29.76447895820547]}"
528,-21.16381568902572,-57.00673281279466,1,"{""type"":""Point"",""coordinates"":[-57.00673281279466,-21.16381568902572]}"
534,-1.3846025632765824,-52.90736401582318,1,"{""type"":""Point"",""coordinates"":[-52.90736401582318,-1.3846025632765824]}"
537,-1.006632132092409,-53.15404434523461,1,"{""type"":""Point"",""coordinates"":[-53.15404434523461,-1.006632132092409]}"
545,-17.891899340819187,-51.96411270495431,1,"{""type"":""Point"",""coordinates"":[-51.96411270495431,-17.891899340819187]}"
548,-6.954650161392681,-49.02350912376709,1,"{""type"":""Point"",""coordinates"":[-49.02350912376709,-6.954650161392681]}"
550,-17.67041616093568,-53.53461729938235,1,"{""type"":""Point"",""coordinates"":[-53.53461729938235,-17.67041616093568]}"
554,-0.903014209822273,-55.41368614922474,1,"{""type"":""Point"",""coordinates"":[-55.41368614922474,-0.903014209822273]}"
572,-3.1802915115603216,-59.17450149843758,1,"{""type"":""Point"",""coordinates"":[-59.17450149843758,-3.1802915115603216]}"
574,-9.190142465757773,-56.94141652606328,1,"{""type"":""Point"",""coordinates"":[-56.94141652606328,-9.190142465757773]}"
583,-10.41632651483411,-63.947718026823466,1,"{""type"":""Point"",""coordinates"":[-63.947718026823466,-10.41632651483411]}"
585,-20.36694389573894,-52.40332206853618,1,"{""type"":""Point"",""coordinates"":[-52.40332206853618,-20.36694389573894]}"
588,-2.138836632449039,-54.84552873176957,1,"{""type"":""Point"",""coordinates"":[-54.84552873176957,-2.138836632449039]}"
591,-10.098542095614432,-62.898086449730975,1,"{""type"":""Point"",""coordinates"":[-62.898086449730975,-10.098542095614432]}"
592,-21.149882990224814,-52.22064968788504,1,"{""type"":""Point"",""coordinates"":[-52.22064968788504,-21.149882990224814]}"
598,-14.08696905444646,-39.39247996935406,1,"{""type"":""Point"",""coordinates"":[-39.39247996935406,-14.08696905444646]}"
600,-6.629700310779986,-52.09176715426418,1,"{""type"":""Point"",""coordinates"":[-52.09176715426418,-6.629700310779986]}"
601,-11.353422222449318,-54.103552563239234,1,"{""type"":""Point"",""coordinates"":[-54.103552563239234,-11.353422222449318]}"
609,-10.194044966941474,-58.027759890685225,1,"{""type"":""Point"",""coordinates"":[-58.027759890685225,-10.194044966941474]}"
613,-6.120488696062289,-35.65631620893149,1,"{""type"":""Point"",""coordinates"":[-35.65631620893149,-6.120488696062289]}"
625,-2.0434912382540884,-60.06831700414756,1,"{""type"":""Point"",""coordinates"":[-60.06831700414756,-2.0434912382540884]}"
631,-8.778807205064034,-63.683300274748646,1,"{""type"":""Point"",""coordinates"":[-63.683300274748646,-8.778807205064034]}"
634,-20.02561607680109,-53.84923954810291,1,"{""type"":""Point"",""coordinates"":[-53.84923954810291,-20.02561607680109]}"
635,-11.763341923890541,-54.737854236734904,1,"{""type"":""Point"",""coordinates"":[-54.737854236734904,-11.763341923890541]}"
636,-29.41917993899509,-49.79489946643595,1,"{""type"":""Point"",""coordinates"":[-49.79489946643595,-29.41917993899509]}"
637,-27.905448174030262,-55.15176884776329,1,"{""type"":""Point"",""coordinates"":[-55.15176884776329,-27.905448174030262]}"
640,-19.091846050452407,-56.40721549757117,1,"{""type"":""Point"",""coordinates"":[-56.40721549757117,-19.091846050452407]}"
642,1.8692425594051916,-50.79386349171355,1,"{""type"":""Point"",""coordinates"":[-50.79386349171355,1.8692425594051916]}"
646,-2.3014541284064554,-53.72624153464965,1,"{""type"":""Point"",""coordinates"":[-53.72624153464965,-2.3014541284064554]}"
647,-17.584948220469045,-40.217793614551105,1,"{""type"":""Point"",""coordinates"":[-40.217793614551105,-17.584948220469045]}"
650,1.297476444411346,-61.29593502271982,1,"{""type"":""Point"",""coordinates"":[-61.29593502271982,1.297476444411346]}"
655,-20.488901702367254,-53.5071406291151,1,"{""type"":""Point"",""coordinates"":[-53.5071406291151,-20.488901702367254]}"
663,-11.956405221549643,-52.61990425567131,1,"{""type"":""Point"",""coordinates"":[-52.61990425567131,-11.956405221549643]}"
676,-4.18256684034685,-51.74721781055958,1,"{""type"":""Point"",""coordinates"":[-51.74721781055958,-4.18256684034685]}"
680,-10.182983756487037,-48.344926598844744,1,"{""type"":""Point"",""coordinates"":[-48.344926598844744,-10.182983756487037]}"
681,-3.626287489946757,-49.942221743396004,1,"{""type"":""Point"",""coordinates"":[-49.942221743396004,-3.626287489946757]}"
690,-8.75707705811811,-50.71574481210904,1,"{""type"":""Point"",""coordinates"":[-50.71574481210904,-8.75707705811811]}"
695,-31.13829724108338,-52.175813245205084,1,"{""type"":""Point"",""coordinates"":[-52.175813245205084,-31.13829724108338]}"
697,-20.591948125145176,-51.849622515171426,1,"{""type"":""Point"",""coordinates"":[-51.849622515171426,-20.591948125145176]}"
699,-9.543811864948296,-56.55313290282273,1,"{""type"":""Point"",""coordinates"":[-56.55313290282273,-9.543811864948296]}"
701,-9.034951123543134,-63.38715801781768,1,"{""type"":""Point"",""coordinates"":[-63.38715801781768,-9.034951123543134]}"
702,-19.38964933040913,-53.160187562512675,1,"{""type"":""Point"",""coordinates"":[-53.160187562512675,-19.38964933040913]}"
707,-12.958708692375293,-61.43747693278435,1,"{""type"":""Point"",""coordinates"":[-61.43747693278435,-12.958708692375293]}"
708,-27.407927598613416,-52.145916013874654,1,"{""type"":""Point"",""coordinates"":[-52.145916013874654,-27.407927598613416]}"
717,-15.193683540326667,-58.89419748965935,1,"{""type"":""Point"",""coordinates"":[-58.89419748965935,-15.193683540326667]}"
718,-14.387183413521534,-55.799793005553504,1,"{""type"":""Point"",""coordinates"":[-55.799793005553504,-14.387183413521534]}"
720,-10.610468470922394,-52.38548107332352,1,"{""type"":""Point"",""coordinates"":[-52.38548107332352,-10.610468470922394]}"
721,-13.050336116880176,-55.59501728709994,1,"{""type"":""Point"",""coordinates"":[-55.59501728709994,-13.050336116880176]}"
722,-13.685392280256883,-53.2382427300145,1,"{""type"":""Point"",""coordinates"":[-53.2382427300145,-13.685392280256883]}"
725,-3.6591098775138127,-60.91913484801572,1,"{""type"":""Point"",""coordinates"":[-60.91913484801572,-3.6591098775138127]}"
730,-5.581189686695727,-35.499930549894394,1,"{""type"":""Point"",""coordinates"":[-35.499930549894394,-5.581189686695727]}"
735,-3.0248651815851684,-64.55852868914363,1,"{""type"":""Point"",""coordinates"":[-64.55852868914363,-3.0248651815851684]}"
738,-16.282071827115473,-39.48213743875035,1,"{""type"":""Point"",""coordinates"":[-39.48213743875035,-16.282071827115473]}"
739,-3.3714784939002507,-49.072727330820555,1,"{""type"":""Point"",""coordinates"":[-49.072727330820555,-3.3714784939002507]}"
743,-10.363468740477925,-63.852685214934446,1,"{""type"":""Point"",""coordinates"":[-63.852685214934446,-10.363468740477925]}"
744,-7.92821668718227,-50.22292466519018,1,"{""type"":""Point"",""coordinates"":[-50.22292466519018,-7.92821668718227]}"
749,-25.488512421260893,-51.535362054520554,1,"{""type"":""Point"",""coordinates"":[-51.535362054520554,-25.488512421260893]}"
753,-28.773250355141517,-53.30121806349632,1,"{""type"":""Point"",""coordinates"":[-53.30121806349632,-28.773250355141517]}"
755,-18.67237068911563,-56.22841418464036,1,"{""type"":""Point"",""coordinates"":[-56.22841418464036,-18.67237068911563]}"
756,-11.155755261538298,-48.78053209310895,1,"{""type"":""Point"",""coordinates"":[-48.78053209310895,-11.155755261538298]}"
759,-9.876435086095183,-57.09972114433135,1,"{""type"":""Point"",""coordinates"":[-57.09972114433135,-9.876435086095183]}"
762,-14.4382116241811,-56.975184509067205,1,"{""type"":""Point"",""coordinates"":[-56.975184509067205,-14.4382116241811]}"
763,-11.26001330464575,-50.678525647697946,1,"{""type"":""Point"",""coordinates"":[-50.678525647697946,-11.26001330464575]}"
773,-16.206760885114274,-60.04985633420443,1,"{""type"":""Point"",""coordinates"":[-60.04985633420443,-16.206760885114274]}"
775,-1.2054554849728214,-52.81148856752248,1,"{""type"":""Point"",""coordinates"":[-52.81148856752248,-1.2054554849728214]}"
779,-7.032155259855647,-55.801839054901755,1,"{""type"":""Point"",""coordinates"":[-55.801839054901755,-7.032155259855647]}"
792,-18.184103063006965,-51.477283392994806,1,"{""type"":""Point"",""coordinates"":[-51.477283392994806,-18.184103063006965]}"
795,-16.133835940921788,-56.310184325423364,1,"{""type"":""Point"",""coordinates"":[-56.310184325423364,-16.133835940921788]}"
797,-17.73252449655258,-55.53922110141531,1,"{""type"":""Point"",""coordinates"":[-55.53922110141531,-17.73252449655258]}"
799,-1.705036796209769,-54.931545481983505,1,"{""type"":""Point"",""coordinates"":[-54.931545481983505,-1.705036796209769]}"
803,-20.61560970829174,-42.01107154902082,1,"{""type"":""Point"",""coordinates"":[-42.01107154902082,-20.61560970829174]}"
815,-2.9146050483752806,-58.19940609244973,1,"{""type"":""Point"",""coordinates"":[-58.19940609244973,-2.9146050483752806]}"
816,-10.117060900486686,-56.30726230338854,1,"{""type"":""Point"",""coordinates"":[-56.30726230338854,-10.117060900486686]}"
820,-26.294697403596107,-53.30235875359992,1,"{""type"":""Point"",""coordinates"":[-53.30235875359992,-26.294697403596107]}"
822,-12.94871388708566,-52.66441169418282,1,"{""type"":""Point"",""coordinates"":[-52.66441169418282,-12.94871388708566]}"
825,-10.678690025820414,-55.89211358775852,1,"{""type"":""Point"",""coordinates"":[-55.89211358775852,-10.678690025820414]}"
839,-10.215269279610828,-54.08996412892489,1,"{""type"":""Point"",""coordinates"":[-54.08996412892489,-10.215269279610828]}"
842,-3.2379073563229435,-49.12546958262954,1,"{""type"":""Point"",""coordinates"":[-49.12546958262954,-3.2379073563229435]}"
850,1.8634481047366718,-59.90603406867503,1,"{""type"":""Point"",""coordinates"":[-59.90603406867503,1.8634481047366718]}"
852,-31.121131375863236,-50.92637973406624,1,"{""type"":""Point"",""coordinates"":[-50.92637973406624,-31.121131375863236]}"
853,-11.676644272851096,-61.51237592394119,1,"{""type"":""Point"",""coordinates"":[-61.51237592394119,-11.676644272851096]}"
854,-3.294218010966257,-63.69378028137869,1,"{""type"":""Point"",""coordinates"":[-63.69378028137869,-3.294218010966257]}"
859,-19.266521988162808,-52.06343700992415,1,"{""type"":""Point"",""coordinates"":[-52.06343700992415,-19.266521988162808]}"
861,-16.13819256451438,-40.29232873335629,1,"{""type"":""Point"",""coordinates"":[-40.29232873335629,-16.13819256451438]}"
866,-21.520028929956375,-52.35627775688247,1,"{""type"":""Point"",""coordinates"":[-52.35627775688247,-21.520028929956375]}"
869,-3.4748942384364123,-57.98537859604284,1,"{""type"":""Point"",""coordinates"":[-57.98537859604284,-3.4748942384364123]}"
870,-16.76523041306909,-52.704039053013354,1,"{""type"":""Point"",""coordinates"":[-52.704039053013354,-16.76523041306909]}"
871,-11.551761955362544,-37.9331497529782,1,"{""type"":""Point"",""coordinates"":[-37.9331497529782,-11.551761955362544]}"
874,-2.370132600476931,-47.640520491703334,1,"{""type"":""Point"",""coordinates"":[-47.640520491703334,-2.370132600476931]}"
877,-6.389709121217567,-52.020756170718776,1,"{""type"":""Point"",""coordinates"":[-52.020756170718776,-6.389709121217567]}"
881,-21.67534034191185,-53.402927652330895,1,"{""type"":""Point"",""coordinates"":[-53.402927652330895,-21.67534034191185]}"
883,-10.188017550895378,-68.42628592670852,1,"{""type"":""Point"",""coordinates"":[-68.42628592670852,-10.188017550895378]}"
887,-7.695683570170327,-51.78503266012387,1,"{""type"":""Point"",""coordinates"":[-51.78503266012387,-7.695683570170327]}"
890,-31.102105652464207,-50.778470945646525,1,"{""type"":""Point"",""coordinates"":[-50.778470945646525,-31.102105652464207]}"
895,-3.881923034078817,-54.30447402294156,1,"{""type"":""Point"",""coordinates"":[-54.30447402294156,-3.881923034078817]}"
915,-9.322261602599141,-60.11171436173533,1,"{""type"":""Point"",""coordinates"":[-60.11171436173533,-9.322261602599141]}"
916,-12.641307674075215,-63.04382928074013,1,"{""type"":""Point"",""coordinates"":[-63.04382928074013,-12.641307674075215]}"
917,-1.3046524883268642,-53.979194758250216,1,"{""type"":""Point"",""coordinates"":[-53.979194758250216,-1.3046524883268642]}"
919,-7.7256488847869775,-72.41141426585119,1,"{""type"":""Point"",""coordinates"":[-72.41141426585119,-7.7256488847869775]}"
948,-3.600027629046531,-62.9697246866234,1,"{""type"":""Point"",""coordinates"":[-62.9697246866234,-3.600027629046531]}"
954,-4.050042284532612,-47.78377130778963,1,"{""type"":""Point"",""coordinates"":[-47.78377130778963,-4.050042284532612]}"
960,-9.178747327992793,-62.00818849198546,1,"{""type"":""Point"",""coordinates"":[-62.00818849198546,-9.178747327992793]}"
961,-9.8281421940707,-52.76771879182123,1,"{""type"":""Point"",""coordinates"":[-52.76771879182123,-9.8281421940707]}"
965,-22.791633333487503,-42.265590934957636,1,"{""type"":""Point"",""coordinates"":[-42.265590934957636,-22.791633333487503]}"
967,-9.33001431092335,-66.53155394591346,1,"{""type"":""Point"",""coordinates"":[-66.53155394591346,-9.33001431092335]}"
973,-20.17031268905482,-53.322880877305096,1,"{""type"":""Point"",""coordinates"":[-53.322880877305096,-20.17031268905482]}"
977,-12.606108410460749,-60.0585057104543,1,"{""type"":""Point"",""coordinates"":[-60.0585057104543,-12.606108410460749]}"
978,-3.153623238549821,-54.49389767774674,1,"{""type"":""Point"",""coordinates"":[-54.49389767774674,-3.153623238549821]}"
